Country;Totally likely;Not likely;Dont know
Austria;0.09;0.88;0.03
Belgium;0.13;0.85;0.02
Bulgaria;0.09;0.84;0.07
Croatia;;;
Cyprus;0.14;0.84;0.02
Czech Republic;0.04;0.95;0.01
Denmark;0.17;0.83;0.00
Estonia;0.15;0.85;0.00
Finland;0.10;0.88;0.02
France;0.15;0.84;0.01
Greece;0.08;0.90;0.02
Spain;0.13;0.83;0.04
Ireland;0.18;0.75;0.07
Lithuania;0.24;0.75;0.01
Luxemburg;0.20;0.80;0.00
Latvia;0.34;0.63;0.03
Malta;0.14;0.82;0.04
Netherlands;0.11;0.88;0.01
Germany;0.08;0.90;0.02
Poland;0.09;0.87;0.04
Portugal;0.10;0.86;0.04
Romania;0.10;0.82;0.08
Slovakia;0.09;0.89;0.02
Slovenia;0.09;0.89;0.02
Sweden;0.17;0.82;0.01
Hungary;0.07;0.91;0.02
United Kingdom;0.16;0.82;0.02
Italy;0.06;0.91;0.03